time:4.3882317543029785, length:1.1433196701781108, ratio:0.17259701492537313
time:7.162167072296143, length:2.446996327363791, ratio:0.26805970149253733
time:7.132875680923462, length:1.6253532795337053, ratio:0.20334328358208956
time:5.156588315963745, length:1.5609817648836082, ratio:0.1866268656716418
time:2.3769824504852295, length:0.26540565830192564, ratio:0.1297313432835821
time:2.7856950759887695, length:0.668921739656238, ratio:0.15719402985074626
time:4.668930768966675, length:1.561348520700262, ratio:0.17982089552238806
time:4.505138635635376, length:1.1521563466840592, ratio:0.16919402985074627
time:8.234252214431763, length:2.001292673605885, ratio:0.25719402985074624
time:4.829893589019775, length:1.5485044845494773, ratio:0.1911044776119403
time:6.75518274307251, length:2.4403277513928177, ratio:0.25504477611940296
time:4.486263036727905, length:1.1867002881320357, ratio:0.18011940298507462
time:4.616255044937134, length:1.1385742206770826, ratio:0.18602985074626865
time:2.8725552558898926, length:0.7078662788741962, ratio:0.15229850746268656
time:4.185231924057007, length:1.1559036547449413, ratio:0.1661492537313433
time:2.2711191177368164, length:0.2681492540005546, ratio:0.1271641791044776
time:7.250776052474976, length:1.3690379897744223, ratio:0.17719402985074628
time:13.69322156906128, length:3.924065467681159, ratio:0.33719402985074626
time:7.2300331592559814, length:1.8545431215254442, ratio:0.2547462686567164
time:9.701181888580322, length:3.3621008772959926, ratio:0.30895522388059704
time:2.9116883277893066, length:0.32618197043446817, ratio:0.14340298507462687
time:2.1538703441619873, length:0.26207237632199415, ratio:0.13032835820895522
time:4.271312952041626, length:1.145544004509838, ratio:0.17408955223880598
time:4.689885139465332, length:1.5997993948696196, ratio:0.19480597014925374
time:2.067077398300171, length:0.25723028908932694, ratio:0.14029850746268657
time:9.641513109207153, length:3.326066139585283, ratio:0.2991044776119403
time:6.940215110778809, length:1.6034521548627396, ratio:0.22035820895522387
time:13.50428032875061, length:5.136252017734344, ratio:0.3386865671641791
time:4.841288089752197, length:1.5782441637751312, ratio:0.20370149253731343
time:5.347546815872192, length:1.5775758876054025, ratio:0.20507462686567166
time:10.107176542282104, length:3.8253288115795026, ratio:0.34686567164179105
time:4.687669038772583, length:1.5652273472333897, ratio:0.1884776119402985
time:16.08475685119629, length:5.442932952138484, ratio:0.3340298507462687
time:4.4897541999816895, length:1.1261490380682022, ratio:0.1657910447761194
time:4.0887839794158936, length:1.198736436408724, ratio:0.17116417910447762
time:5.149106740951538, length:1.5803989790002397, ratio:0.2052537313432836
time:9.53143572807312, length:3.352487000497175, ratio:0.31576119402985076
time:5.770467281341553, length:2.0236043062325115, ratio:0.20811940298507461
time:11.019056558609009, length:3.687682967912162, ratio:0.3255522388059702
time:6.70763087272644, length:2.4669759359360435, ratio:0.24292537313432835
time:13.469330072402954, length:4.356222225953416, ratio:0.4013134328358209
time:6.41793417930603, length:1.490355332595174, ratio:0.18991044776119403
time:5.571658134460449, length:1.5882383084458336, ratio:0.1973731343283582
time:7.613638639450073, length:2.475219191624145, ratio:0.2337910447761194
time:4.819316864013672, length:1.5939134010274851, ratio:0.19205970149253732
time:6.989627122879028, length:1.6533446849058244, ratio:0.20161194029850746
time:4.681772470474243, length:1.3615289948590892, ratio:0.18298507462686567
time:15.60939645767212, length:5.459893226390373, ratio:0.45158208955223883
time:5.12688684463501, length:1.4207655768945289, ratio:0.17832835820895523
time:6.855403900146484, length:1.6563925980355252, ratio:0.22376119402985076
time:7.193699598312378, length:2.479198560504819, ratio:0.2785671641791045
time:7.3611626625061035, length:1.7673684433585657, ratio:0.22023880597014925
time:4.438052415847778, length:1.164248441209934, ratio:0.16298507462686568
time:5.761335849761963, length:1.4091594537363026, ratio:0.19032835820895522
time:17.68672251701355, length:6.878051876066468, ratio:0.3688358208955224
time:6.5245361328125, length:2.0275263598200746, ratio:0.2307462686567164
time:9.682893753051758, length:3.34359468144197, ratio:0.29695522388059703
time:4.712052583694458, length:1.5813002525661433, ratio:0.19528358208955224
time:6.944562911987305, length:2.4455337305470177, ratio:0.2315820895522388
time:6.60614538192749, length:1.4045003733248071, ratio:0.1778507462686567
time:4.688774347305298, length:1.5821145364316922, ratio:0.19229850746268656
time:2.4942474365234375, length:0.25226165533097655, ratio:0.12823880597014925
time:4.478114366531372, length:1.1305912869862964, ratio:0.17826865671641792
time:5.200853109359741, length:1.581173322658195, ratio:0.19056716417910446
time:4.257911443710327, length:1.144965513117545, ratio:0.16602985074626866
time:4.453867197036743, length:1.1368972229781567, ratio:0.1711044776119403
time:13.30824065208435, length:5.124764355808857, ratio:0.38585074626865673
time:6.094117164611816, length:1.96131353305433, ratio:0.23361194029850746
time:15.140148401260376, length:6.02297897598446, ratio:0.39385074626865674
time:5.557552099227905, length:1.5972364157076928, ratio:0.2004179104477612
time:5.626456260681152, length:1.5921674513368798, ratio:0.19229850746268656
time:2.721850872039795, length:0.6908919412276926, ratio:0.15253731343283583
time:4.829401016235352, length:1.6234113976371185, ratio:0.21229850746268658
time:7.5175652503967285, length:2.4677094119767182, ratio:0.22
time:5.408650875091553, length:1.5984061510515848, ratio:0.204955223880597
time:5.813549518585205, length:2.0159586267736467, ratio:0.2293134328358209
time:13.924221992492676, length:1.7229608942245638, ratio:0.21397014925373134
time:10.189497947692871, length:3.78179398616673, ratio:0.2942089552238806
time:10.367442607879639, length:3.5264976770044867, ratio:0.3454328358208955
time:3.315720558166504, length:0.6899991999788342, ratio:0.15408955223880597
time:7.373527526855469, length:1.622601823385088, ratio:0.2114626865671642
time:5.025807857513428, length:1.6022930734962566, ratio:0.20429850746268657
time:5.78315806388855, length:2.0513230311562003, ratio:0.23408955223880598
time:4.8982696533203125, length:1.549434540025917, ratio:0.2080597014925373
time:5.351660490036011, length:1.375032063854464, ratio:0.17176119402985074
time:4.185703754425049, length:1.1594416272881134, ratio:0.16071641791044777
time:2.006749391555786, length:0.26537552568215167, ratio:0.14417910447761195
time:15.856743812561035, length:2.484932492317682, ratio:0.2718805970149254
time:2.952303886413574, length:0.25168065807561557, ratio:0.14143283582089552
time:6.701628923416138, length:2.433201236947153, ratio:0.2191044776119403
time:5.111604928970337, length:1.571951484044295, ratio:0.20513432835820897
time:8.003590106964111, length:1.5702260317774868, ratio:0.19802985074626867
time:8.553021430969238, length:2.1890024949518883, ratio:0.25116417910447764
time:6.258131265640259, length:1.8768444436524714, ratio:0.24513432835820895
time:7.376972198486328, length:1.7556377751551702, ratio:0.2208358208955224
time:4.027351140975952, length:1.1527688751888812, ratio:0.16029850746268656
time:8.943735599517822, length:3.3566986957817164, ratio:0.32250746268656716
time:8.135814666748047, length:1.6888443462383338, ratio:0.21832835820895521
time:5.216603517532349, length:1.5602301386078947, ratio:0.2048955223880597
time:5.868014097213745, length:1.995167990128738, ratio:0.25217910447761194
time:10.232531547546387, length:3.768194810176485, ratio:0.3363582089552239
time:7.0343194007873535, length:1.8156662269093364, ratio:0.21808955223880597
time:5.4579081535339355, length:1.5837359781561657, ratio:0.1826268656716418
time:9.005177736282349, length:3.362715811548058, ratio:0.30423880597014924
time:11.340651988983154, length:1.403857626843486, ratio:0.18376119402985075
time:5.388033390045166, length:1.581803516644915, ratio:0.20465671641791044
time:4.687744855880737, length:1.5970344731741046, ratio:0.19450746268656716
time:13.919613599777222, length:1.5957987296470368, ratio:0.20238805970149254
time:6.757112264633179, length:2.4702107212375255, ratio:0.26650746268656716
time:5.565046787261963, length:1.5971490815359142, ratio:0.20107462686567165
time:12.189034461975098, length:2.5172653446077984, ratio:0.2758805970149254
time:6.7334794998168945, length:2.443428640368943, ratio:0.2643582089552239
